,B,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Bsite_At. #_weighted_avg,Bsite_Period_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Bsite0_At. #,host_Bsite0_IsHexagonal,host_Bsite0_IsNoblegas,Bsite_IsMetal_max
0,Al,26.98154,577.6,2740.0,1.62,18.828,37.7,2740,1.62,5.986,28.447,73,1.39,13.0,3.0,1.0,0.0,5.0,13,0,0,1
1,Co,58.9332,758.0,3143.0,1.67,17.06,17.9,3143,1.67,7.86,33.5,58,1.75,27.0,4.0,1.0,3.0,0.0,27,1,0,1
2,Cr,51.996,652.8,2945.0,1.85,16.5,7.9,2945,1.85,6.766,30.96,49,1.73,24.0,4.0,1.0,5.0,0.0,24,0,0,1
3,Cu,63.456,745.4,2840.0,1.57,20.292,60.7,2840,1.57,7.726,36.83,64,1.47,29.0,4.0,1.0,0.0,0.0,29,0,0,1
4,Fe,55.847,759.3,3023.0,1.72,16.18,11.2,3023,1.72,7.87,30.651,55,1.77,26.0,4.0,1.0,4.0,0.0,26,0,0,1
5,Ga,69.723,578.8,2478.0,1.81,20.51,1.8,2478,1.81,5.999,30.71,74,1.31,31.0,4.0,1.0,0.0,5.0,31,0,0,1
6,Hf,178.49,642.0,4875.0,2.16,14.925,3.4,4875,2.16,6.65,23.32,45,1.45,72.0,6.0,1.0,8.0,0.0,72,1,0,1
7,Ir,192.22,880.0,4700.0,1.87,0.0,21.3,4700,1.87,9.1,0.0,60,1.83,77.0,6.0,1.0,3.0,0.0,77,0,0,1
8,Mn,54.938,717.4,2235.0,1.79,15.64,0.5,2235,1.79,7.435,33.667,52,1.61,25.0,4.0,1.0,5.0,0.0,25,0,0,1
9,Mo,95.94,684.9,4912.0,2.01,16.461,17.3,4912,2.01,7.099,27.16,50,1.77,42.0,5.0,1.0,5.0,0.0,42,0,0,1
10,Nb,92.9064,664.0,5015.0,2.08,14.32,6.6,5015,2.08,6.88,25.04,47,1.64,41.0,5.0,1.0,6.0,0.0,41,0,0,1
11,Ni,58.6934,736.7,3005.0,1.62,18.168,14.6,3005,1.62,7.635,35.17,61,1.75,28.0,4.0,1.0,2.0,0.0,28,0,0,1
12,Os,190.2,840.0,5300.0,1.92,0.0,12.3,5300,1.92,8.7,0.0,57,1.85,76.0,6.0,1.0,4.0,0.0,76,1,0,1
13,Pd,106.42,805.0,3240.0,1.79,19.63,10.0,3240,1.79,8.34,32.93,62,1.67,46.0,5.0,1.0,0.0,0.0,46,0,0,1
14,Pt,195.08,870.0,4100.0,1.83,18.563,9.4,4100,1.83,9.0,0.0,63,1.78,78.0,6.0,1.0,1.0,0.0,78,0,0,1
15,Re,186.207,760.0,5870.0,1.97,0.0,5.8,5870,1.97,7.88,0.0,54,1.85,75.0,6.0,1.0,5.0,0.0,75,1,0,1
16,Rh,102.9055,720.0,3970.0,1.83,18.08,23.0,3970,1.83,7.46,31.06,59,1.76,45.0,5.0,1.0,2.0,0.0,45,0,0,1
17,Ru,101.07,711.0,4425.0,1.89,16.76,14.9,4425,1.89,7.37,28.47,56,1.83,44.0,5.0,1.0,3.0,0.0,44,1,0,1
18,Ta,180.9479,761.0,5730.0,2.09,0.0,8.1,5730,2.09,7.89,0.0,48,1.63,73.0,6.0,1.0,7.0,0.0,73,0,0,1
19,Tc,98.0,702.0,4538.0,1.95,15.26,0.001,4538,1.95,7.28,29.54,53,1.81,43.0,5.0,1.0,5.0,0.0,43,1,0,1
20,Ti,47.88,658.0,3560.0,2.0,13.58,2.6,3560,2.0,6.82,27.491,43,1.52,22.0,4.0,1.0,8.0,0.0,22,1,0,1
21,V,50.9415,650.0,3650.0,1.92,14.65,4.0,3650,1.92,6.74,29.31,46,1.64,23.0,4.0,1.0,7.0,0.0,23,0,0,1
22,Y,88.9059,616.0,3611.0,2.27,12.24,1.8,3611,2.27,6.38,20.52,12,1.21,39.0,5.0,1.0,9.0,0.0,39,1,0,1
23,Zn,65.39,906.4,1180.0,1.53,17.964,16.9,1180,1.53,9.394,39.722,69,1.32,30.0,4.0,1.0,0.0,0.0,30,1,0,1
24,Zr,91.224,660.0,4682.0,2.16,13.13,2.3,4682,2.16,6.34,22.99,44,1.41,40.0,5.0,1.0,8.0,0.0,40,1,0,1
41,Sc,44.9559,631.0,3109.0,2.09,12.8,1.5,3109,2.09,6.54,24.76,11,1.27,21.0,4.0,1.0,9.0,0.0,21,1,0,1
